ZIP,Number of returns,Population,P_Elderly,Income,Unemployment
76435,300,600,100,"15,169",0
76436,110,240,40,"5,421",0
76437,"2,290","4,720",660,"123,559",40
76442,"3,170","6,570",940,"162,198",90
76443,790,"1,610",280,"44,812",20
76444,"1,540","3,180",460,"76,288",30
76445,160,290,50,"7,241",0
76446,"3,470","7,290",820,"183,412",70
76448,"2,480","4,920",760,"161,153",40
76449,"1,080","2,050",390,"93,872",20
76450,"5,670","11,580","1,740","398,529",80
76453,580,"1,100",270,"54,022",0
76454,670,"1,420",190,"30,430",0
76455,370,750,120,"15,415",0
76457,"1,680","3,490",520,"107,358",40
76458,"2,230","4,730",590,"136,730",40
76460,170,370,60,"10,409",0
76462,"1,540","3,410",430,"146,091",20
76463,210,390,60,"12,786",0
76464,180,370,60,"9,202",0
76470,"1,140","2,230",330,"48,498",20
76471,690,"1,360",240,"35,296",0
76472,710,"1,460",220,"49,882",0
76474,140,280,60,"7,171",0
76475,410,820,140,"23,993",0
76476,"1,370","2,900",330,"99,253",20
76483,420,820,140,"29,461",0
76484,450,840,180,"31,377",0
76486,590,"1,190",180,"31,676",0
76487,"1,360","2,860",340,"96,950",20
76491,190,400,70,"10,328",0
76501,"7,230","14,490","1,680","330,676",130
76502,"21,800","44,430","5,210","1,522,656",360
76504,"10,990","20,050","2,060","433,615",170
76511,"1,030","2,160",260,"51,969",0
76513,"18,240","37,710","4,480","1,389,906",300
76518,580,"1,190",130,"29,281",0
76519,260,500,70,"13,435",0
76520,"3,370","6,770","1,010","161,275",90
76522,"18,100","37,430","3,440","810,542",420
76524,"1,300","2,560",350,"70,158",20
76525,460,930,160,"23,868",0
76527,"2,180","4,510",520,"153,514",20
76528,"7,420","14,960","2,050","428,035",110
76530,"1,280","2,470",380,"76,611",30
76531,"2,150","4,180",750,"138,365",0
76534,"1,270","2,640",330,"85,726",20
76537,"5,590","11,570",690,"310,087",110
76538,370,750,110,"24,105",0
76539,"4,020","8,330","1,150","242,778",80
76541,"7,740","14,680","1,160","224,662",150
76542,"23,170","48,760","3,240","1,098,277",520
76543,"13,580","26,140","2,060","478,950",310
76544,"7,780","18,850",80,"288,707",80
76548,"13,900","29,910","2,420","792,693",270
76549,"24,110","51,030","2,670","989,388",640
76550,"5,970","11,650","1,870","386,891",140
76554,970,"2,090",230,"57,290",0
76556,630,"1,300",200,"36,019",0
76557,"2,370","4,900",590,"130,872",50
76559,"2,790","5,950",460,"157,838",70
76561,490,990,150,"25,074",0
76566,130,260,50,"7,017",0
76567,"4,100","7,930","1,200","211,293",150
76569,"1,220","2,580",330,"64,634",20
76570,"1,090","2,190",330,"50,124",0
76571,"4,330","9,410","1,430","456,407",60
76574,"9,200","17,740","2,170","534,678",140
76577,"1,540","3,120",460,"101,196",40
76578,880,"1,780",180,"56,072",0
76579,"2,260","4,850",510,"126,373",50
76621,530,"1,050",150,"33,813",0
76622,510,"1,090",120,"31,427",0
76624,"1,180","2,370",300,"68,179",0
76626,760,"1,610",180,"44,387",0
76627,710,"1,480",160,"36,919",20
76629,880,"1,730",260,"49,696",0
76630,850,"1,710",180,"55,646",0
76631,230,470,70,"12,389",0
76632,750,"1,540",150,"31,371",0
76633,"2,670","5,690",730,"233,682",50
76634,"3,180","6,100","1,160","196,254",40
76635,470,"1,050",100,"19,317",0
76636,750,"1,670",180,"50,444",0
76637,240,450,100,"14,592",0
76638,"1,410","3,040",430,"143,672",0
76639,670,"1,370",180,"31,384",0
76640,"1,420","2,700",400,"68,587",20
76641,740,"1,680",160,"39,048",0
76642,"2,700","5,460",770,"149,638",50
76643,"7,460","14,490","1,950","482,983",120
76645,"5,000","10,170","1,210","249,447",100
76648,"1,100","2,260",320,"54,540",40
76649,320,670,110,"20,978",0
76651,"1,450","3,060",340,"77,230",30
76652,410,870,120,"22,741",0
76653,520,"1,010",170,"29,050",0
76655,"4,680","10,000","1,220","363,701",90
76656,"1,010","2,050",280,"62,652",0
76657,"5,010","10,670","1,280","487,469",80
76660,200,390,60,"9,414",0
76661,"2,610","5,090",600,"96,232",50
76664,"1,340","2,650",340,"64,792",30
76665,"1,080","2,120",360,"57,267",0
76666,130,240,40,"5,405",0
76667,"4,760","9,450","1,150","216,643",80
76670,650,"1,370",130,"32,453",0
76671,790,"1,580",290,"43,534",20
76673,500,"1,080",140,"26,910",0
76676,160,310,40,"7,581",0
76679,610,"1,190",150,"30,020",0
76681,210,430,60,"8,609",0
76682,"1,270","2,550",330,"72,858",20
76687,640,"1,220",250,"38,045",0
76689,"1,750","3,650",550,"116,926",30
76690,540,"1,150",160,"27,143",0
76691,"3,090","6,040",810,"190,378",40
76692,"4,700","9,110","1,580","256,345",80
76693,730,"1,550",170,"35,802",0
76701,740,"1,120",100,"37,173",0
76704,"2,940","5,300",460,"73,089",70
76705,"13,060","25,670","2,610","536,119",310
76706,"13,910","25,470","2,280","610,040",280
76707,"6,810","13,690",870,"208,565",150
76708,"12,350","25,160","2,350","681,465",250
76710,"11,730","21,130","3,250","767,406",190
76711,"4,430","8,350",630,"151,479",110
